time,open,high,low,close,Volume
1505163600,1.19526,1.19783,1.19264,1.19666,NaN
1505250000,1.19666,1.19951,1.18732,1.18856,NaN
1505336400,1.18855,1.19224,1.18376,1.19189,NaN
1505422800,1.19189,1.19874,1.1901,1.19473,NaN
1505678400,1.19326,1.19695,1.19152,1.19533,NaN
1505768400,1.19533,1.20066,1.19501,1.19943,NaN
1505854800,1.19943,1.20269,1.18615,1.1892,NaN
1505941200,1.1892,1.19539,1.18658,1.19414,NaN
1506027600,1.19414,1.20046,1.19371,1.19531,NaN
1506283200,1.19463,1.19463,1.18321,1.18477,NaN
1506373200,1.18483,1.18616,1.17577,1.17934,NaN
1506459600,1.17936,1.17953,1.17172,1.17448,NaN
1506546000,1.17448,1.18043,1.17212,1.17863,NaN
1506632400,1.17863,1.18327,1.17726,1.18145,NaN
1506888000,1.18145,1.18154,1.17303,1.17333,NaN
1506978000,1.17329,1.17734,1.16963,1.1744,NaN
1507064400,1.1744,1.17878,1.17352,1.17595,NaN
1507150800,1.17594,1.1779,1.16991,1.17114,NaN
1507237200,1.17115,1.17389,1.16696,1.17314,NaN
1507492800,1.17364,1.17562,1.17197,1.17405,NaN
1507582800,1.17405,1.18255,1.17394,1.18081,NaN
1507669200,1.18081,1.18693,1.17953,1.18588,NaN
1507755600,1.18586,1.18799,1.18272,1.18299,NaN
1507842000,1.18299,1.18749,1.18055,1.18204,NaN
1508097600,1.18161,1.18198,1.17806,1.17962,NaN
1508187600,1.1796,1.18004,1.17362,1.17663,NaN
1508274000,1.17664,1.18055,1.17303,1.17876,NaN
1508360400,1.17875,1.1858,1.17679,1.18521,NaN
1508446800,1.18521,1.18582,1.17627,1.17832,NaN
1508702400,1.17607,1.17775,1.1725,1.17491,NaN
1508792400,1.17492,1.1793,1.1743,1.17613,NaN
1508878800,1.17613,1.18178,1.17532,1.18127,NaN
1508965200,1.18128,1.18369,1.16406,1.16506,NaN
1509051600,1.16506,1.16574,1.15745,1.16083,NaN
1509310800,1.16101,1.16581,1.15939,1.16496,NaN
1509400800,1.16496,1.16613,1.16251,1.16464,NaN
1509487200,1.16464,1.16574,1.16064,1.16227,NaN
1509573600,1.16226,1.16874,1.16132,1.16565,NaN
1509660000,1.16564,1.16904,1.15992,1.16081,NaN
1509915600,1.16165,1.16242,1.15804,1.16097,NaN
1510005600,1.16097,1.16157,1.15541,1.15864,NaN
1510092000,1.15864,1.16113,1.15792,1.15949,NaN
1510178400,1.15949,1.16549,1.15858,1.16419,NaN
1510264800,1.16418,1.16781,1.1623,1.16644,NaN
1510520400,1.16563,1.16752,1.16375,1.16673,NaN
1510610400,1.16673,1.18052,1.16616,1.1798,NaN
1510696800,1.1798,1.18599,1.17848,1.17913,NaN
1510783200,1.17914,1.1801,1.17568,1.17706,NaN
1510869600,1.17706,1.18218,1.17656,1.17914,NaN
1511125200,1.17869,1.18088,1.17224,1.17327,NaN
1511215200,1.17327,1.17579,1.1713,1.17382,NaN
1511301600,1.17381,1.18271,1.17327,1.18223,NaN
1511388000,1.18223,1.1856,1.18133,1.18504,NaN
1511474400,1.18504,1.19445,1.18368,1.19324,NaN
1511730000,1.1942,1.19612,1.18958,1.18983,NaN
1511820000,1.18983,1.19201,1.18271,1.18404,NaN
1511906400,1.18402,1.18829,1.18172,1.18475,NaN
1511992800,1.18474,1.19317,1.18092,1.19041,NaN
1512079200,1.19041,1.19405,1.18509,1.18989,NaN
1512334800,1.18558,1.18787,1.18293,1.18653,NaN
1512424800,1.18653,1.18768,1.18009,1.1826,NaN
1512511200,1.18264,1.18482,1.17808,1.17957,NaN
1512597600,1.17957,1.18148,1.1772,1.17728,NaN
1512684000,1.17728,1.17767,1.17303,1.1773,NaN
1512939600,1.17661,1.18119,1.17641,1.1769,NaN
1513029600,1.17691,1.17928,1.17176,1.17419,NaN
1513116000,1.17421,1.18317,1.17296,1.1826,NaN
1513202400,1.1826,1.18627,1.17709,1.17778,NaN
1513288800,1.17779,1.18124,1.17493,1.17503,NaN
1513544400,1.17434,1.18344,1.17382,1.17817,NaN
1513634400,1.17817,1.18489,1.17766,1.18398,NaN
1513720800,1.18393,1.19019,1.1829,1.18712,NaN
1513807200,1.18713,1.18897,1.18494,1.1874,NaN
1513893600,1.1874,1.18759,1.18171,1.18619,NaN
1514239200,1.18721,1.18789,1.18467,1.18585,NaN
1514325600,1.18585,1.19104,1.18551,1.18881,NaN
1514412000,1.18881,1.19591,1.1888,1.1943,NaN
1514498400,1.1943,1.20255,1.19365,1.20032,NaN
1514844000,1.20147,1.20813,1.20033,1.20586,NaN
1514930400,1.20586,1.20663,1.20013,1.20146,NaN
1515016800,1.20146,1.20889,1.20045,1.20683,NaN
1515103200,1.20683,1.2083,1.20208,1.20291,NaN
1515358800,1.20274,1.20523,1.19559,1.19674,NaN
1515448800,1.19674,1.19757,1.19158,1.1937,NaN
1515535200,1.1937,1.20182,1.19233,1.19476,NaN
1515621600,1.19476,1.20591,1.19294,1.20321,NaN
